file,strength,intelligence,wisdom,dexterity,constitution,charisma,alignment
10037.jpg,11,12,13,12,11,14,neutral good
10113.jpg,12,16,15,14,14,12,neutral good
10121.jpg,14,11,12,6,12,5,lawful good
10129.jpg,14,13,13,14,13,13,lawful good
10139.jpg,8,7,6,8,7,8,lawful good
10195.jpg,15,14,16,15,12,14,lawful good
10212.jpg,7,10,10,10,10,10,lawful good
10220.jpg,12,15,16,15,11,13,lawful neutral
10221.jpg,14,16,12,13,14,16,lawful neutral
10230.jpg,15,14,14,13,14,13,lawful good
1034.jpg,11,11,12,11,10,11,lawful good
10558.jpg,8,9,9,7,7,7,lawful good
10561.jpg,10,11,8,10,10,12,lawful good
10620.jpg,15,16,16,14,15,15,lawful good
10642.jpg,14,11,9,8,9,9,lawful good
1071.jpg,11,13,10,12,11,13,lawful evil
10735.jpg,15,14,16,13,15,6,lawful good
1077.jpg,7,7,7,7,7,6,lawful good
10793.jpg,7,6,6,6,6,7,lawful good
10822.jpg,7,8,7,8,7,6,lawful neutral
10824.jpg,8,9,7,8,8,7,lawful good
10832.jpg,12,14,13,16,15,14,lawful neutral
10848.jpg,14,15,16,13,15,14,lawful neutral
10899.jpg,12,11,11,9,11,10,lawful good
1280.jpg,7,7,7,6,8,6,lawful good
13.jpg,4,12,10,5,8,15,lawful good
1365.jpg,12,14,15,11,13,12,lawful good
1440.jpg,5,7,7,6,7,7,lawful neutral
1498.jpg,9,8,8,9,7,8,lawful good
1507.jpg,10,10,10,10,9,10,lawful good
152.jpg,12,7,6,8,10,7,neutral good
1527.jpg,10,12,10,10,12,10,lawful neutral
156.jpg,7,6,7,5,5,3,lawful good
16.jpg,14,16,13,13,12,15,lawful good
161.jpg,10,12,14,11,12,10,lawful good
1623.jpg,11,10,11,11,10,11,lawful good
1625.jpg,7,7,7,7,8,7,neutral good
1630.jpg,6,9,8,3,7,8,lawful good
1705.jpg,12,11,10,11,12,11,lawful neutral
1756.jpg,14,13,12,11,10,12,neutral evil
180.jpg,10,11,13,12,15,10,lawful good
1845.jpg,5,10,12,0,12,10,lawful good
1896.jpg,15,11,10,13,12,12,lawful good
1900.jpg,7,6,7,7,5,6,lawful good
2.jpg,6,4,5,5,4,5,lawful good
2017.jpg,6,6,6,6,6,7,neutral good
211.jpg,15,12,14,12,10,13,lawful good
2172.jpg,7,8,9,6,7,5,lawful neutral
228.jpg,7,9,11,7,7,8,lawful good
2296.jpg,12,14,13,15,16,12,lawful good
2338.jpg,8,6,8,7,7,6,lawful good
24.jpg,18,16,13,12,5,15,lawful good
2444.jpg,8,10,12,5,10,5,lawful good
2595.jpg,6,8,9,7,8,7,lawful good
2611.jpg,12,11,11,8,11,8,lawful neutral
2644.jpg,15,16,17,15,15,16,lawful good
2670.jpg,6,7,8,7,7,10,lawful good
2685.jpg,8,8,8,8,8,6,lawful good
2709.jpg,14,14,12,11,11,11,lawful neutral
280.jpg,7,6,8,6,8,7,lawful good
2832.jpg,12,14,14,14,14,13,lawful good
29.jpg,15,14,13,14,15,16,lawful good
2912.jpg,10,9,8,7,7,7,lawful neutral
293.jpg,7,8,8,6,7,5,lawful good
296.jpg,8,13,9,10,12,10,lawful good
31.jpg,8,6,6,6,6,6,lawful neutral
3124.jpg,7,8,7,6,7,7,lawful good
313.jpg,11,9,9,8,11,9,lawful good
315.jpg,14,13,14,12,14,13,lawful good
3208.jpg,12,15,16,14,13,10,lawful good
3280.jpg,5,4,5,3,5,2,lawful neutral
3320.jpg,15,14,12,16,13,17,lawful good
3330.jpg,9,11,11,11,12,11,lawful good
3460.jpg,10,8,8,7,10,9,lawful good
3503.jpg,15,12,15,13,14,16,lawful good
3574.jpg,15,13,13,14,11,9,lawful good
3575.jpg,7,8,6,5,7,6,lawful evil
3610.jpg,8,7,10,5,8,3,lawful good
3623.jpg,6,6,6,5,7,6,lawful neutral
3658.jpg,16,14,13,12,13,11,lawful good
3726.jpg,6,8,5,8,5,8,lawful good
3740.jpg,12,14,11,12,13,15,lawful good
3771.jpg,7,8,9,6,7,7,lawful good
3777.jpg,9,9,9,9,9,9,neutral good
3800.jpg,8,9,7,5,9,9,lawful good
381.jpg,16,13,12,11,14,15,neutral good
3889.jpg,6,7,7,6,7,7,lawful neutral
3904.jpg,15,15,14,16,17,14,chaotic good
3923.jpg,8,7,8,8,8,2,lawful good
3935.jpg,16,14,15,16,12,16,lawful good
3984.jpg,6,6,7,5,7,4,neutral good
3989.jpg,14,11,12,11,10,12,lawful good
3990.jpg,6,7,7,5,6,7,lawful good
40.jpg,8,15,16,8,8,8,lawful good
4001.jpg,8,7,7,6,7,3,lawful neutral
4218.jpg,7,9,10,8,8,9,lawful neutral
4279.jpg,15,14,15,15,12,11,lawful good
